f,i,j,w
5,234,40,0.25479862
5,233,42,0.056572035
5,233,44,0.21223505
5,232,46,0.012589894
5,232,48,0.18427637
5,232,50,0.39425564
5,231,52,0.115666054
5,231,54,0.35076213
5,231,56,0.63717353
5,230,58,0.19310215
5,230,60,0.48680577
5,230,62,0.8286238
5,229,63,0.0098257065
5,229,65,0.070760235
5,229,67,0.18464187
5,229,69,0.34869343
5,228,71,0.044987444
5,228,73,0.18105653
5,228,75,0.3532425
5,228,77,0.5576794
5,228,79,0.7902859
5,228,80,0.08631582
5,227,82,0.019937282
5,227,84,0.07078281
5,227,86,0.1449178
5,227,88,0.23816928
5,227,90,0.34638003
1,2,43,0.3283696
1,4,43,0.32033822
1,5,43,0.008839679
1,7,43,0.038316045
1,9,43,0.061411124
1,11,43,0.08216109
1,13,43,0.104588754
1,15,43,0.13271542
1,17,43,0.17057201
1,19,43,0.22221105
1,21,43,0.29171813
1,22,43,0.031085534
1,24,43,0.085297726
1,26,43,0.15796104
1,28,43,0.2532402
